,x,y,z,layer,region
0,4229.222179530378,-1735.058526152928,-4220.520674682123,Outside,Outside
1,4395.667300345335,-1787.7450284201495,-4122.94939696301,Outside,Outside
2,4562.112421160293,-1840.431530687371,-4025.3781192438973,Outside,Outside
3,4728.55754197525,-1893.1180329545925,-3927.806841524784,Outside,Outside
4,4895.002662790208,-1945.8045352218141,-3830.235563805671,Outside,Outside
5,5061.447783605165,-1998.4910374890355,-3732.664286086558,Outside,Outside
6,5227.892904420122,-2051.177539756257,-3635.0930083674452,Outside,Outside
7,5394.33802523508,-2103.8640420234788,-3537.521730648332,Outside,Outside
8,5560.783146050037,-2156.5505442907,-3439.950452929219,Outside,Outside
9,5727.228266864995,-2209.2370465579215,-3342.379175210106,Outside,Outside
10,4254.5413173380375,-1545.6674382858478,-4161.444815846211,Outside,Outside
11,4420.986438152995,-1598.3539405530692,-4063.873538127098,Outside,Outside
12,4587.431558967953,-1651.0404428202908,-3966.3022604079847,Outside,Outside
13,4753.87667978291,-1703.7269450875124,-3868.730982688872,Outside,Outside
14,4920.321800597868,-1756.413447354734,-3771.159704969759,Outside,Outside
15,5086.7669214128255,-1809.0999496219556,-3673.588427250646,Outside,Outside
16,5253.212042227783,-1861.786451889177,-3576.0171495315326,Outside,Outside
17,5419.657163042741,-1914.4729541563986,-3478.4458718124197,Outside,Outside
18,5586.102283857697,-1967.1594564236202,-3380.8745940933068,Outside,Outside
19,5752.547404672655,-2019.8459586908416,-3283.303316374194,Outside,Outside
20,4279.860455145698,-1356.2763504187676,-4102.368957010299,Outside,Outside
21,4446.305575960656,-1408.9628526859892,-4004.7976792911854,Outside,Outside
22,4612.750696775613,-1461.6493549532106,-3907.2264015720725,Outside,Outside
23,4779.19581759057,-1514.3358572204322,-3809.6551238529596,Outside,Outside
24,4945.640938405528,-1567.0223594876538,-3712.0838461338467,Outside,Outside
25,5112.086059220485,-1619.7088617548752,-3614.5125684147333,Outside,Outside
26,5278.531180035443,-1672.3953640220968,-3516.9412906956204,Outside,Outside
27,5444.976300850401,-1725.0818662893184,-3419.3700129765075,Outside,Outside
28,5611.421421665358,-1777.7683685565398,-3321.7987352573946,Outside,Outside
29,5777.866542480315,-1830.4548708237614,-3224.2274575382817,Outside,Outside
30,4305.179592953358,-1166.8852625516874,-4043.293098174386,Outside,Outside
31,4471.624713768316,-1219.5717648189088,-3945.7218204552732,Outside,Outside
32,4638.069834583273,-1272.2582670861304,-3848.1505427361603,Outside,Outside
33,4804.514955398231,-1324.944769353352,-3750.5792650170474,Outside,Outside
34,4970.960076213189,-1377.6312716205737,-3653.007987297934,Outside,Outside
35,5137.405197028145,-1430.317773887795,-3555.436709578821,Outside,Outside
36,5303.850317843103,-1483.0042761550167,-3457.865431859708,Outside,Outside
37,5470.29543865806,-1535.6907784222383,-3360.2941541405953,Outside,Outside
38,5636.740559473018,-1588.37728068946,-3262.7228764214824,Outside,Outside
39,5803.185680287976,-1641.0637829566813,-3165.1515987023695,Outside,Outside
40,4330.498730761019,-977.4941746846073,-3984.217239338474,Outside,Outside
41,4496.943851575976,-1030.180676951829,-3886.645961619361,Outside,Outside
42,4663.388972390933,-1082.8671792190503,-3789.0746839002477,Outside,Outside
43,4829.834093205891,-1135.553681486272,-3691.503406181135,Outside,Outside
44,4996.2792140208485,-1188.2401837534935,-3593.932128462022,Outside,Outside
45,5162.724334835806,-1240.926686020715,-3496.360850742909,Outside,Outside
46,5329.169455650764,-1293.6131882879365,-3398.789573023796,Outside,Outside
47,5495.614576465721,-1346.2996905551581,-3301.218295304683,Outside,Outside
48,5662.059697280678,-1398.9861928223795,-3203.64701758557,Outside,Outside
49,5828.5048180956355,-1451.6726950896011,-3106.075739866457,Outside,Outside
50,4355.817868568679,-788.1030868175271,-3925.141380502562,Outside,Outside
51,4522.2629893836365,-840.7895890847486,-3827.5701027834484,Outside,Outside
52,4688.708110198594,-893.4760913519701,-3729.9988250643355,Outside,Outside
53,4855.153231013551,-946.1625936191917,-3632.4275473452226,Outside,Outside
54,5021.598351828508,-998.8490958864134,-3534.8562696261097,Outside,Outside
55,5188.043472643466,-1051.535598153635,-3437.2849919069968,Outside,Outside
56,5354.488593458424,-1104.2221004208563,-3339.713714187884,Outside,Outside
57,5520.933714273381,-1156.908602688078,-3242.1424364687705,Outside,Outside
58,5687.378835088339,-1209.5951049552996,-3144.5711587496576,Outside,Outside
59,5853.823955903296,-1262.281607222521,-3046.9998810305447,Outside,Outside
