name,x,y,z,layer,region,type
0,2481.46,199.84,4360,NA,Hippocampus,LineSource
1,2513.46,279.84,4328,NA,Hippocampus,LineSource
2,2545.46,359.84,4344,NA,Hippocampus,LineSource
3,2577.46,439.84,4344,NA,Hippocampus,LineSource
4,2609.46,503.84,4296,NA,Hippocampus,LineSource
5,2625.46,583.84,4312,NA,Hippocampus,LineSource
6,2625.46,663.84,4312,NA,Hippocampus,LineSource
7,2641.46,727.84,4296,NA,Hippocampus,LineSource
8,2689.46,807.84,4264,NA,Hippocampus,LineSource
9,2721.46,887.84,4264,NA,Hippocampus,LineSource
10,2753.46,951.84,4200,NA,Hippocampus,LineSource
